surah_num,ayah_num,audio_url,reciter,is_labeled,is_correct,score,notes,duration_sec
1,1,http://everyayah.com/data/Alafasy_64kbps/001001.mp3,Alafasy,True,True,95,Good recitation,5.0
1,2,http://everyayah.com/data/Alafasy_64kbps/001002.mp3,Alafasy,True,True,95,Good recitation,5.0
1,3,http://everyayah.com/data/Alafasy_64kbps/001003.mp3,Alafasy,True,True,95,Good recitation,5.0
1,4,http://everyayah.com/data/Alafasy_64kbps/001004.mp3,Alafasy,True,True,95,Good recitation,5.0
1,5,http://everyayah.com/data/Alafasy_64kbps/001005.mp3,Alafasy,True,True,95,Good recitation,5.0
1,6,http://everyayah.com/data/Alafasy_64kbps/001006.mp3,Alafasy,True,True,95,Good recitation,5.0
1,7,http://everyayah.com/data/Alafasy_64kbps/001007.mp3,Alafasy,True,True,95,Good recitation,5.0
2,1,http://everyayah.com/data/Alafasy_64kbps/002001.mp3,Alafasy,True,True,95,Good recitation,5.0
2,2,http://everyayah.com/data/Alafasy_64kbps/002002.mp3,Alafasy,True,True,95,Good recitation,5.0
2,3,http://everyayah.com/data/Alafasy_64kbps/002003.mp3,Alafasy,True,True,95,Good recitation,5.0
2,4,http://everyayah.com/data/Alafasy_64kbps/002004.mp3,Alafasy,True,True,95,Good recitation,5.0
2,5,http://everyayah.com/data/Alafasy_64kbps/002005.mp3,Alafasy,True,True,95,Good recitation,5.0
2,6,http://everyayah.com/data/Alafasy_64kbps/002006.mp3,Alafasy,True,True,95,Good recitation,5.0
2,7,http://everyayah.com/data/Alafasy_64kbps/002007.mp3,Alafasy,True,True,95,Good recitation,5.0
2,8,http://everyayah.com/data/Alafasy_64kbps/002008.mp3,Alafasy,True,True,95,Good recitation,5.0
2,9,http://everyayah.com/data/Alafasy_64kbps/002009.mp3,Alafasy,True,True,95,Good recitation,5.0
2,10,http://everyayah.com/data/Alafasy_64kbps/002010.mp3,Alafasy,True,True,95,Good recitation,5.0
2,11,http://everyayah.com/data/Alafasy_64kbps/002011.mp3,Alafasy,True,True,95,Good recitation,5.0
2,12,http://everyayah.com/data/Alafasy_64kbps/002012.mp3,Alafasy,True,True,95,Good recitation,5.0
2,13,http://everyayah.com/data/Alafasy_64kbps/002013.mp3,Alafasy,True,True,95,Good recitation,5.0
2,14,http://everyayah.com/data/Alafasy_64kbps/002014.mp3,Alafasy,True,True,95,Good recitation,5.0
2,15,http://everyayah.com/data/Alafasy_64kbps/002015.mp3,Alafasy,True,True,95,Good recitation,5.0
2,16,http://everyayah.com/data/Alafasy_64kbps/002016.mp3,Alafasy,True,True,95,Good recitation,5.0
2,17,http://everyayah.com/data/Alafasy_64kbps/002017.mp3,Alafasy,True,True,95,Good recitation,5.0
2,18,http://everyayah.com/data/Alafasy_64kbps/002018.mp3,Alafasy,True,True,95,Good recitation,5.0
2,19,http://everyayah.com/data/Alafasy_64kbps/002019.mp3,Alafasy,True,True,95,Good recitation,5.0
2,20,http://everyayah.com/data/Alafasy_64kbps/002020.mp3,Alafasy,True,True,95,Good recitation,5.0
